1112k  1.70.35.224:8085
1087k  1.70.35.224:8083
1061k  110.178.77.222:8083
1047k  110.178.77.222:8082
1039k  1.70.35.224:8082
1032k  110.178.77.222:8084
1032k  1.70.35.224:8084
983k  223.10.115.195:8083
944k  223.10.115.195:8082
673k  110.178.53.35:8084
639k  110.178.52.75:8083
628k  110.178.52.75:8084
598k  110.178.52.75:8082
559k  110.178.52.75:8085
540k  110.178.53.35:8083
511k  110.178.53.35:8082
322k  110.178.52.91:8085
300k  1.70.34.16:8082
283k  110.178.52.91:8083
230k  110.179.80.56:8082
201k  110.178.52.91:8084
191k  110.178.52.91:8082
